epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.516,3.18444,4.22049,3.74496,0.10411,0.15538,0.05294,0.01596,2.03882,12.9036,2.35398,0.0775261,0.0024971,0.0024971
2,350.596,2.54994,3.02842,2.91747,0.25194,0.23358,0.15823,0.0565,1.74265,12.0661,1.97281,0.0550256,0.00499656,0.00499656
3,513.498,2.17501,2.66906,2.45547,0.32321,0.30339,0.23804,0.0934,1.53144,7.96348,1.71217,0.0325228,0.00749384,0.00749384
4,675.766,2.05692,2.57128,2.27543,0.33325,0.35687,0.28387,0.11682,1.4545,26.6361,1.60742,0.0100163,0.00998733,0.00998733
5,836.786,1.97172,2.48092,2.16078,0.43032,0.38466,0.34462,0.1465,1.43241,11.2816,1.5252,0.00998264,0.00998264,0.00998264
6,997.053,1.89465,2.34456,2.07435,0.46363,0.41898,0.38498,0.17327,1.3885,8.01527,1.49089,0.00997288,0.00997288,0.00997288
7,1157.19,1.83944,2.23006,2.01757,0.49925,0.43984,0.443,0.2107,1.3204,6.89887,1.43754,0.00996097,0.00996097,0.00996097
8,1318.06,1.81012,2.16727,1.98414,0.51741,0.45423,0.45225,0.21499,1.3162,7.41042,1.42428,0.0099469,0.0099469,0.0099469
9,1480.23,1.78271,2.09152,1.94805,0.53501,0.44405,0.45829,0.21787,1.31361,3.86234,1.40236,0.00993068,0.00993068,0.00993068
10,1640.79,1.76188,2.05833,1.91508,0.57104,0.50659,0.53165,0.26665,1.26636,5.0011,1.35111,0.00991232,0.00991232,0.00991232
11,1801.09,1.75166,2.01732,1.89719,0.53655,0.49179,0.49691,0.24313,1.24885,4.21563,1.32712,0.00989183,0.00989183,0.00989183
12,1961.53,1.71562,1.9787,1.86295,0.57145,0.52144,0.54618,0.27699,1.23991,4.70728,1.31481,0.00986922,0.00986922,0.00986922
13,2122.6,1.71488,1.93802,1.86188,0.56297,0.5351,0.54999,0.2747,1.23293,6.031,1.32347,0.00984449,0.00984449,0.00984449
14,2283.07,1.69487,1.91122,1.84559,0.60009,0.54944,0.57909,0.29606,1.21184,5.55237,1.29808,0.00981765,0.00981765,0.00981765
15,2443.26,1.68867,1.8792,1.83918,0.60788,0.54595,0.58003,0.29916,1.198,5.5962,1.29363,0.00978873,0.00978873,0.00978873
16,2603.5,1.67778,1.87297,1.83258,0.5963,0.5533,0.58566,0.30343,1.19092,4.48982,1.27931,0.00975773,0.00975773,0.00975773
17,2763.84,1.67541,1.85361,1.82078,0.61404,0.57133,0.59645,0.31233,1.18052,5.80228,1.27001,0.00972466,0.00972466,0.00972466
18,2923.77,1.66146,1.82077,1.80511,0.63038,0.55052,0.60866,0.32265,1.19935,4.58132,1.28612,0.00968955,0.00968955,0.00968955
19,3085.08,1.65864,1.81093,1.80284,0.61165,0.56878,0.60438,0.32138,1.17093,4.90608,1.24748,0.00965239,0.00965239,0.00965239
20,3247.08,1.63707,1.79139,1.78522,0.63099,0.58169,0.62289,0.3324,1.17432,3.93794,1.25832,0.00961322,0.00961322,0.00961322
21,3407.59,1.63781,1.76609,1.78713,0.63823,0.59438,0.63571,0.34285,1.15727,3.71467,1.24015,0.00957205,0.00957205,0.00957205
22,3567.73,1.62596,1.73254,1.77193,0.64335,0.6013,0.64303,0.34565,1.15839,3.63268,1.23881,0.00952889,0.00952889,0.00952889
23,3727.83,1.6193,1.74488,1.76902,0.63196,0.60014,0.63889,0.34281,1.15052,3.65429,1.2364,0.00948377,0.00948377,0.00948377
24,3887.76,1.61291,1.72023,1.76061,0.65923,0.59325,0.65033,0.35116,1.14384,3.03088,1.23592,0.00943671,0.00943671,0.00943671
25,4047.7,1.60196,1.69552,1.75027,0.65441,0.6071,0.6592,0.35905,1.14027,3.24837,1.22637,0.00938772,0.00938772,0.00938772
26,4207.51,1.60074,1.69107,1.75325,0.66024,0.61045,0.65803,0.35975,1.13687,2.627,1.21696,0.00933683,0.00933683,0.00933683
27,4367.58,1.59289,1.66951,1.74022,0.65637,0.61743,0.66302,0.36248,1.12749,3.55837,1.20579,0.00928405,0.00928405,0.00928405
28,4527.91,1.58218,1.66811,1.73244,0.66356,0.62625,0.67138,0.36664,1.13005,3.37478,1.2059,0.00922942,0.00922942,0.00922942
29,4688.06,1.58415,1.65043,1.72391,0.67892,0.62655,0.68129,0.37633,1.12288,3.05997,1.20231,0.00917296,0.00917296,0.00917296
30,4848.02,1.59036,1.63559,1.73256,0.68381,0.62214,0.68112,0.37573,1.12367,3.57914,1.20674,0.00911469,0.00911469,0.00911469
31,5008.01,1.58304,1.64422,1.72383,0.67737,0.64615,0.68242,0.37538,1.11999,2.98648,1.18944,0.00905463,0.00905463,0.00905463
32,5167.8,1.56884,1.59697,1.70827,0.68175,0.63999,0.6878,0.37962,1.11744,2.71612,1.1931,0.00899282,0.00899282,0.00899282
33,5328.25,1.57093,1.61097,1.71349,0.68949,0.62909,0.68766,0.37868,1.11287,2.6169,1.18906,0.00892928,0.00892928,0.00892928
34,5488.42,1.56528,1.59919,1.70899,0.67815,0.64806,0.69166,0.38423,1.10639,3.31795,1.18857,0.00886404,0.00886404,0.00886404
35,5648.26,1.56796,1.58557,1.70768,0.68891,0.64536,0.69727,0.38847,1.10622,2.85331,1.17895,0.00879713,0.00879713,0.00879713
36,5808.03,1.5526,1.56757,1.70294,0.68195,0.64665,0.69704,0.39108,1.10242,2.83705,1.17715,0.00872857,0.00872857,0.00872857
37,5967.95,1.54641,1.5727,1.68668,0.68979,0.65266,0.70189,0.39026,1.09761,2.99169,1.173,0.00865839,0.00865839,0.00865839
38,6128.18,1.54709,1.5599,1.68331,0.69165,0.65091,0.70691,0.39737,1.10338,3.18696,1.17649,0.00858664,0.00858664,0.00858664
39,6288.47,1.54855,1.55441,1.69455,0.68501,0.66014,0.70835,0.39818,1.10036,3.04703,1.17547,0.00851333,0.00851333,0.00851333
40,6450.04,1.53595,1.53279,1.68083,0.70294,0.65207,0.71081,0.3973,1.09878,2.73675,1.17334,0.00843851,0.00843851,0.00843851
41,6609.92,1.53853,1.54067,1.679,0.70674,0.65553,0.71484,0.40178,1.08838,2.80561,1.16249,0.0083622,0.0083622,0.0083622
42,6769.62,1.53361,1.52165,1.66786,0.70106,0.65458,0.71339,0.40176,1.08803,2.44318,1.16318,0.00828443,0.00828443,0.00828443
